epoch,step,loss,loss_cls,loss_sev,lr
1,20,0.71648,0.66058,0.05590,0.000200
1,40,0.64477,0.60104,0.04373,0.000200
2,60,0.63455,0.59077,0.04379,0.000199
2,80,0.64785,0.61404,0.03381,0.000199
2,100,0.52871,0.50341,0.02530,0.000199
3,120,0.54626,0.50364,0.04262,0.000195
3,140,0.49995,0.45493,0.04501,0.000195
4,160,0.34806,0.31805,0.03001,0.000189
4,180,0.47549,0.44889,0.02660,0.000189
4,200,0.35952,0.30570,0.05382,0.000189
5,220,0.33555,0.30463,0.03093,0.000181
5,240,0.37630,0.35453,0.02177,0.000181
6,260,0.31618,0.29181,0.02437,0.000171
6,280,0.37946,0.35030,0.02916,0.000171
6,300,0.34652,0.30136,0.04515,0.000171
7,320,0.40071,0.36391,0.03680,0.000159
7,340,0.30575,0.27696,0.02879,0.000159
8,360,0.43990,0.39615,0.04376,0.000145
8,380,0.27469,0.26020,0.01449,0.000145
8,400,0.23210,0.20752,0.02457,0.000145
9,420,0.30932,0.24440,0.06492,0.000131
9,440,0.23578,0.21063,0.02516,0.000131
10,460,0.19879,0.18430,0.01450,0.000116
10,480,0.40032,0.37257,0.02774,0.000116
10,500,0.19533,0.17493,0.02040,0.000116
11,520,0.23204,0.20502,0.02701,0.000100
11,540,0.22325,0.19773,0.02552,0.000100
12,560,0.22211,0.19862,0.02349,0.000084
12,580,0.30630,0.26431,0.04200,0.000084
12,600,0.20435,0.18142,0.02294,0.000084
13,620,0.17189,0.11666,0.05523,0.000069
13,640,0.19922,0.16060,0.03862,0.000069
14,660,0.18915,0.15681,0.03235,0.000055
14,680,0.28727,0.24946,0.03780,0.000055
14,700,0.22166,0.17948,0.04218,0.000055
15,720,0.25279,0.23345,0.01934,0.000041
15,740,0.18380,0.16193,0.02187,0.000041
16,760,0.21562,0.18990,0.02571,0.000029
16,780,0.38448,0.35469,0.02978,0.000029
16,800,0.20172,0.17186,0.02986,0.000029
17,820,0.28171,0.25409,0.02762,0.000019
17,840,0.23102,0.19555,0.03547,0.000019
18,860,0.26808,0.24124,0.02684,0.000011
18,880,0.28373,0.24796,0.03578,0.000011
18,900,0.26541,0.23342,0.03199,0.000011
19,920,0.24595,0.22157,0.02438,0.000005
19,940,0.17903,0.15974,0.01929,0.000005
20,960,0.18261,0.15934,0.02327,0.000001
20,980,0.17910,0.15733,0.02177,0.000001
20,1000,0.23625,0.18917,0.04708,0.000001
